"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","2:33.460",153460,"5:53.663",353663,"8:20:54.778","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.275",33275,"59.194",59194,"1:00.991",60991,"00:20.736",20736,"00:12.539",12539,"00:23.101",23101,"00:36.093",36093,"00:29.420",29420,"00:31.571",31571
"3","Jason Kos","2","2","2:32.678",152678,"8:26.341",506341,"8:23:27.456","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.285",33285,"58.665",58665,"1:00.728",60728,"00:20.693",20693,"00:12.592",12592,"00:22.715",22715,"00:35.950",35950,"00:29.145",29145,"00:31.583",31583
"3","Jason Kos","3","3","2:32.161",152161,"10:58.502",658502,"8:25:59.617","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.311",33311,"58.253",58253,"1:00.597",60597,"00:20.753",20753,"00:12.558",12558,"00:22.674",22674,"00:35.579",35579,"00:29.191",29191,"00:31.406",31406
"3","Jason Kos","4","4","2:32.773",152773,"13:31.275",811275,"8:28:32.390","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.350",33350,"58.597",58597,"1:00.826",60826,"00:20.824",20824,"00:12.526",12526,"00:22.654",22654,"00:35.943",35943,"00:29.257",29257,"00:31.569",31569
"3","Jason Kos","5","5","2:34.277",154277,"16:05.552",965552,"8:31:06.667","Am","Finish Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.316",33316,"58.472",58472,"1:02.489",62489,"00:20.836",20836,"00:12.480",12480,"00:22.527",22527,"00:35.945",35945,"00:29.863",29863,"00:32.626",32626
"5","Gresham Wagner","1","1","2:28.150",148150,"5:06.792",306792,"8:20:07.907","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.371",32371,"56.676",56676,"59.103",59103,"00:20.103",20103,"00:12.268",12268,"00:21.566",21566,"00:35.110",35110,"00:28.305",28305,"00:30.798",30798
"5","Gresham Wagner","2","2","2:27.660",147660,"7:34.452",454452,"8:22:35.567","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.150",32150,"56.714",56714,"58.796",58796,"00:19.949",19949,"00:12.201",12201,"00:21.618",21618,"00:35.096",35096,"00:28.125",28125,"00:30.671",30671
"5","Gresham Wagner","3","3","2:31.881",151881,"10:06.333",606333,"8:25:07.448","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.217",32217,"56.881",56881,"1:02.783",62783,"00:20.041",20041,"00:12.176",12176,"00:21.665",21665,"00:35.216",35216,"00:29.324",29324,"00:33.459",33459
"5","Gresham Wagner","4","4","2:29.764",149764,"12:36.097",756097,"8:27:37.212","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.209",32209,"57.537",57537,"1:00.018",60018,"00:20.058",20058,"00:12.151",12151,"00:21.554",21554,"00:35.983",35983,"00:28.913",28913,"00:31.105",31105
"5","Gresham Wagner","5","5","2:29.542",149542,"15:05.639",905639,"8:30:06.754","Am","Finish Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.180",32180,"56.783",56783,"1:00.579",60579,"00:19.993",19993,"00:12.187",12187,"00:21.544",21544,"00:35.239",35239,"00:28.986",28986,"00:31.593",31593
"09","Maddie Aust","1","1","2:31.002",151002,"5:38.091",338091,"8:20:39.206","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.679Z"",""id"":""entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw"",""createdAt"":""2024-05-16T20:34:30.679Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.884",32884,"57.955",57955,"1:00.163",60163,"00:20.588",20588,"00:12.296",12296,"00:22.140",22140,"00:35.815",35815,"00:29.001",29001,"00:31.162",31162
"09","Maddie Aust","2","2","2:29.757",149757,"8:07.848",487848,"8:23:08.963","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.679Z"",""id"":""entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw"",""createdAt"":""2024-05-16T20:34:30.679Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.622",32622,"57.759",57759,"59.376",59376,"00:20.335",20335,"00:12.287",12287,"00:22.076",22076,"00:35.683",35683,"00:28.312",28312,"00:31.064",31064
"09","Maddie Aust","3","3","2:29.617",149617,"10:37.465",637465,"8:25:38.580","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.679Z"",""id"":""entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw"",""createdAt"":""2024-05-16T20:34:30.679Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.497",32497,"57.404",57404,"59.716",59716,"00:20.197",20197,"00:12.300",12300,"00:22.061",22061,"00:35.343",35343,"00:28.596",28596,"00:31.120",31120
"09","Maddie Aust","4","4","2:30.062",150062,"13:07.527",787527,"8:28:08.642","Am","Green Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.679Z"",""id"":""entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw"",""createdAt"":""2024-05-16T20:34:30.679Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.661",32661,"56.826",56826,"1:00.575",60575,"00:20.336",20336,"00:12.325",12325,"00:21.802",21802,"00:35.024",35024,"00:28.972",28972,"00:31.603",31603
"09","Maddie Aust","5","5","2:31.634",151634,"15:39.161",939161,"8:30:40.276","Am","Finish Flag","Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw","14061566","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Maddie"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218788"",""team"":""BSI Racing"",""driver1lastName"":""Aust"",""transponderNumber"":""14061566"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""09"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Endava"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.679Z"",""id"":""entries:events-2024-sro-cota:_QDYhJUB-wE8M4RS8zjqw"",""createdAt"":""2024-05-16T20:34:30.679Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Maddie"",""driverLastName"":""Aust"",""driverName"":""Maddie Aust"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.502",32502,"59.049",59049,"1:00.083",60083,"00:20.312",20312,"00:12.190",12190,"00:22.628",22628,"00:36.421",36421,"00:28.859",28859,"00:31.224",31224
"11","Austin Dodge","1","1","2:28.881",148881,"5:16.981",316981,"8:20:18.096","Am","Green Flag","Austin","Dodge","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:fsArOOiWGipF2rq_GY8sy","entries:events-2024-sro-cota:fsArOOiWGipF2rq_GY8sy","10741809","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Austin"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219268"",""team"":""RVA Graphics Motorsports by Speed Syndicate"",""driver1lastName"":""Dodge"",""transponderNumber"":""10741809"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""11"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""RVA Graphics & Wraps"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.821Z"",""id"":""entries:events-2024-sro-cota:fsArOOiWGipF2rq_GY8sy"",""createdAt"":""2024-05-16T20:34:30.821Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Austin"",""driverLastName"":""Dodge"",""driverName"":""Austin Dodge"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.475",32475,"57.004",57004,"59.402",59402,"00:20.188",20188,"00:12.287",12287,"00:22.016",22016,"00:34.988",34988,"00:28.541",28541,"00:30.861",30861
