"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","2","2:34.488",154488,"5:40.077",340077,"16:25:40.722","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.581",33581,"59.263",59263,"1:01.644",61644,"00:20.628",20628,"00:12.953",12953,"00:22.976",22976,"00:36.287",36287,"00:29.431",29431,"00:32.213",32213
"3","Jason Kos","2","3","2:34.032",154032,"8:14.109",494109,"16:28:14.754","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.512",33512,"58.188",58188,"1:02.332",62332,"00:20.695",20695,"00:12.817",12817,"00:22.536",22536,"00:35.652",35652,"00:29.280",29280,"00:33.052",33052
"3","Jason Kos","3","4","2:33.008",153008,"10:47.117",647117,"16:30:47.762","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.429",33429,"58.534",58534,"1:01.045",61045,"00:20.778",20778,"00:12.651",12651,"00:22.912",22912,"00:35.622",35622,"00:29.486",29486,"00:31.559",31559
"3","Jason Kos","4","5","2:33.622",153622,"13:20.739",800739,"16:33:21.384","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.714",33714,"58.489",58489,"1:01.419",61419,"00:21.021",21021,"00:12.693",12693,"00:22.597",22597,"00:35.892",35892,"00:29.442",29442,"00:31.977",31977
"3","Jason Kos","5","5","2:33.239",153239,"15:53.978",953978,"16:35:54.623","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.766",33766,"58.650",58650,"1:00.823",60823,"00:20.892",20892,"00:12.874",12874,"00:22.539",22539,"00:36.111",36111,"00:29.218",29218,"00:31.605",31605
"3","Jason Kos","6","6","2:32.397",152397,"18:26.375",1106375,"16:38:27.020","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.465",33465,"58.044",58044,"1:00.888",60888,"00:20.660",20660,"00:12.805",12805,"00:22.507",22507,"00:35.537",35537,"00:29.294",29294,"00:31.594",31594
"3","Jason Kos","7","7","2:34.368",154368,"21:00.743",1260743,"16:41:01.388","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.651",33651,"58.416",58416,"1:02.301",62301,"00:20.749",20749,"00:12.902",12902,"00:22.758",22758,"00:35.658",35658,"00:30.358",30358,"00:31.943",31943
"3","Jason Kos","8","8","2:33.802",153802,"23:34.545",1414545,"16:43:35.190","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.896",33896,"58.261",58261,"1:01.645",61645,"00:20.935",20935,"00:12.961",12961,"00:22.616",22616,"00:35.645",35645,"00:29.681",29681,"00:31.964",31964
"3","Jason Kos","9","9","2:32.760",152760,"26:07.305",1567305,"16:46:07.950","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.581",33581,"57.968",57968,"1:01.211",61211,"00:20.874",20874,"00:12.707",12707,"00:22.248",22248,"00:35.720",35720,"00:29.399",29399,"00:31.812",31812
"3","Jason Kos","10","10","2:32.570",152570,"28:39.875",1719875,"16:48:40.520","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.402",33402,"58.114",58114,"1:01.054",61054,"00:20.624",20624,"00:12.778",12778,"00:22.294",22294,"00:35.820",35820,"00:29.276",29276,"00:31.778",31778
"3","Jason Kos","11","11","2:32.329",152329,"31:12.204",1872204,"16:51:12.849","Am","Finish Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.474",33474,"57.761",57761,"1:01.094",61094,"00:20.787",20787,"00:12.687",12687,"00:22.341",22341,"00:35.420",35420,"00:29.536",29536,"00:31.558",31558
"5","Gresham Wagner","1","1","2:29.914",149914,"5:14.452",314452,"16:25:15.097","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.806",32806,"57.290",57290,"59.818",59818,"00:20.360",20360,"00:12.446",12446,"00:22.106",22106,"00:35.184",35184,"00:28.468",28468,"00:31.350",31350
"5","Gresham Wagner","2","2","2:29.471",149471,"7:43.923",463923,"16:27:44.568","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.660",32660,"56.913",56913,"59.898",59898,"00:20.276",20276,"00:12.384",12384,"00:21.849",21849,"00:35.064",35064,"00:28.732",28732,"00:31.166",31166
"5","Gresham Wagner","3","3","2:30.837",150837,"10:14.760",614760,"16:30:15.405","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.410",32410,"58.446",58446,"59.981",59981,"00:20.131",20131,"00:12.279",12279,"00:22.663",22663,"00:35.783",35783,"00:28.663",28663,"00:31.318",31318
"5","Gresham Wagner","4","4","2:29.116",149116,"12:43.876",763876,"16:32:44.521","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.338",32338,"57.056",57056,"59.722",59722,"00:20.025",20025,"00:12.313",12313,"00:21.998",21998,"00:35.058",35058,"00:28.505",28505,"00:31.217",31217
"5","Gresham Wagner","5","5","2:38.875",158875,"15:22.751",922751,"16:35:23.396","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.175",38175,"58.742",58742,"1:01.958",61958,"00:22.154",22154,"00:16.021",16021,"00:23.047",23047,"00:35.695",35695,"00:29.006",29006,"00:32.952",32952
