"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","2:34.297",154297,"5:44.339",344339,"11:20:45.203","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.456",34456,"58.586",58586,"1:01.255",61255,"00:21.459",21459,"00:12.997",12997,"00:22.924",22924,"00:35.662",35662,"00:29.555",29555,"00:31.700",31700
"3","Jason Kos","2","2","2:35.597",155597,"8:19.936",499936,"11:23:20.800","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.298",34298,"59.370",59370,"1:01.929",61929,"00:21.268",21268,"00:13.030",13030,"00:23.289",23289,"00:36.081",36081,"00:30.022",30022,"00:31.907",31907
"3","Jason Kos","3","3","2:35.877",155877,"10:55.813",655813,"11:25:56.677","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.735",34735,"59.880",59880,"1:01.262",61262,"00:21.418",21418,"00:13.317",13317,"00:23.558",23558,"00:36.322",36322,"00:29.393",29393,"00:31.869",31869
"3","Jason Kos","4","4","2:34.897",154897,"13:30.710",810710,"11:28:31.574","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.967",33967,"59.390",59390,"1:01.540",61540,"00:21.034",21034,"00:12.933",12933,"00:23.338",23338,"00:36.052",36052,"00:29.702",29702,"00:31.838",31838
"3","Jason Kos","5","5","2:33.286",153286,"16:03.996",963996,"11:31:04.860","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.891",33891,"58.441",58441,"1:00.954",60954,"00:20.974",20974,"00:12.917",12917,"00:22.870",22870,"00:35.571",35571,"00:29.043",29043,"00:31.911",31911
"3","Jason Kos","6","6","2:34.033",154033,"18:38.029",1118029,"11:33:38.893","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.978",33978,"58.831",58831,"1:01.224",61224,"00:21.143",21143,"00:12.835",12835,"00:23.065",23065,"00:35.766",35766,"00:29.053",29053,"00:32.171",32171
"3","Jason Kos","7","7","2:33.355",153355,"21:11.384",1271384,"11:36:12.248","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.572",33572,"58.474",58474,"1:01.309",61309,"00:20.723",20723,"00:12.849",12849,"00:22.886",22886,"00:35.588",35588,"00:29.380",29380,"00:31.929",31929
"3","Jason Kos","8","8","2:33.592",153592,"23:44.976",1424976,"11:38:45.840","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.600",33600,"58.687",58687,"1:01.305",61305,"00:20.729",20729,"00:12.871",12871,"00:23.054",23054,"00:35.633",35633,"00:29.237",29237,"00:32.068",32068
"3","Jason Kos","9","9","2:33.342",153342,"26:18.318",1578318,"11:41:19.182","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","34.151",34151,"58.096",58096,"1:01.095",61095,"00:21.209",21209,"00:12.942",12942,"00:22.749",22749,"00:35.347",35347,"00:29.113",29113,"00:31.982",31982
"3","Jason Kos","10","10","2:33.503",153503,"28:51.821",1731821,"11:43:52.685","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.960",33960,"58.321",58321,"1:01.222",61222,"00:20.976",20976,"00:12.984",12984,"00:22.609",22609,"00:35.712",35712,"00:29.207",29207,"00:32.015",32015
"3","Jason Kos","11","11","2:33.849",153849,"31:25.670",1885670,"11:46:26.534","Am","Finish Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.379Z"",""id"":""entries:events-2024-sro-cota:PQlzH9epiVLLnEfg8a9ln"",""createdAt"":""2024-05-16T20:34:30.379Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","33.923",33923,"58.317",58317,"1:01.609",61609,"00:20.809",20809,"00:13.114",13114,"00:22.729",22729,"00:35.588",35588,"00:29.708",29708,"00:31.901",31901
"5","Gresham Wagner","1","1","2:31.353",151353,"5:39.713",339713,"11:20:40.577","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.897",32897,"57.519",57519,"1:00.937",60937,"00:20.501",20501,"00:12.396",12396,"00:22.204",22204,"00:35.315",35315,"00:29.116",29116,"00:31.821",31821
"5","Gresham Wagner","2","3","2:52.828",172828,"8:32.541",512541,"11:23:33.405","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.561",32561,"1:03.374",63374,"1:16.893",76893,"00:20.234",20234,"00:12.327",12327,"00:22.333",22333,"00:41.041",41041,"00:44.050",44050,"00:32.843",32843
"5","Gresham Wagner","3","4","2:29.358",149358,"11:01.899",661899,"11:26:02.763","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.464",32464,"57.381",57381,"59.513",59513,"00:20.133",20133,"00:12.331",12331,"00:21.904",21904,"00:35.477",35477,"00:28.497",28497,"00:31.016",31016
"5","Gresham Wagner","4","4","2:29.150",149150,"13:31.049",811049,"11:28:31.913","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.287",32287,"57.208",57208,"59.655",59655,"00:20.064",20064,"00:12.223",12223,"00:22.070",22070,"00:35.138",35138,"00:28.405",28405,"00:31.250",31250
"5","Gresham Wagner","5","6","2:44.577",164577,"16:15.626",975626,"11:31:16.490","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM","15257379","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Gresham"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""transponderNumber"":""15257379"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""driver1licenseNationality"":"""",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-05-16T20:34:30.532Z"",""id"":""entries:events-2024-sro-cota:jq4MwktJb3hs_n5HAGBsM"",""createdAt"":""2024-05-16T20:34:30.532Z"",""eventId"":""events:2024-sro-cota""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","32.696",32696,"59.528",59528,"1:12.353",72353,"00:20.125",20125,"00:12.571",12571,"00:22.766",22766,"00:36.762",36762,"00:37.579",37579,"00:34.774",34774
