"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","3:23.578",203578,"3:43.753",223753,"13:58:25.291","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","1:06.293",66293,"1:23.534",83534,"53.751",53751,"00:41.010",41010,"00:25.283",25283,"00:41.720",41720,"00:41.814",41814,"00:18.603",18603,"00:35.148",35148
"3","Jason Kos","2","2","2:28.037",148037,"6:11.790",371790,"14:00:53.328","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","54.131",54131,"55.412",55412,"38.494",38494,"00:31.214",31214,"00:22.917",22917,"00:23.337",23337,"00:32.075",32075,"00:15.411",15411,"00:23.083",23083
"3","Jason Kos","3","3","2:45.346",165346,"8:57.136",537136,"14:03:38.674","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","51.196",51196,"52.605",52605,"1:01.545",61545,"00:28.411",28411,"00:22.785",22785,"00:21.188",21188,"00:31.417",31417,"00:15.286",15286,"00:46.259",46259
"3","Jason Kos","4","4","2:22.897",142897,"11:20.033",680033,"14:06:01.571","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.799",50799,"53.029",53029,"39.069",39069,"00:28.538",28538,"00:22.261",22261,"00:21.546",21546,"00:31.483",31483,"00:15.634",15634,"00:23.435",23435
"3","Jason Kos","5","5","2:24.906",144906,"13:44.939",824939,"14:08:26.477","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","52.159",52159,"53.822",53822,"38.925",38925,"00:29.458",29458,"00:22.701",22701,"00:21.780",21780,"00:32.042",32042,"00:15.572",15572,"00:23.353",23353
"3","Jason Kos","6","6","2:23.763",143763,"16:08.702",968702,"14:10:50.240","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.876",50876,"53.722",53722,"39.165",39165,"00:28.423",28423,"00:22.453",22453,"00:21.812",21812,"00:31.910",31910,"00:15.405",15405,"00:23.760",23760
"3","Jason Kos","7","7","2:22.639",142639,"18:31.341",1111341,"14:13:12.879","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.827",50827,"53.270",53270,"38.542",38542,"00:28.380",28380,"00:22.447",22447,"00:21.605",21605,"00:31.665",31665,"00:15.360",15360,"00:23.182",23182
"3","Jason Kos","8","8","2:23.124",143124,"20:54.465",1254465,"14:15:36.003","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","51.651",51651,"53.036",53036,"38.437",38437,"00:28.613",28613,"00:23.038",23038,"00:21.352",21352,"00:31.684",31684,"00:15.304",15304,"00:23.133",23133
"3","Jason Kos","9","9","2:23.013",143013,"23:17.478",1397478,"14:17:59.016","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.917",50917,"53.362",53362,"38.734",38734,"00:28.388",28388,"00:22.529",22529,"00:21.880",21880,"00:31.482",31482,"00:15.410",15410,"00:23.324",23324
"3","Jason Kos","10","10","2:22.952",142952,"25:40.430",1540430,"14:20:21.968","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","51.093",51093,"53.296",53296,"38.563",38563,"00:28.532",28532,"00:22.561",22561,"00:21.748",21748,"00:31.548",31548,"00:15.420",15420,"00:23.143",23143
"3","Jason Kos","11","11","2:22.266",142266,"28:02.696",1682696,"14:22:44.234","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","51.198",51198,"52.621",52621,"38.447",38447,"00:28.670",28670,"00:22.528",22528,"00:21.253",21253,"00:31.368",31368,"00:15.480",15480,"00:22.967",22967
"3","Jason Kos","12","12","2:21.524",141524,"30:24.220",1824220,"14:25:05.758","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.610",50610,"52.703",52703,"38.211",38211,"00:28.241",28241,"00:22.369",22369,"00:21.498",21498,"00:31.205",31205,"00:15.377",15377,"00:22.834",22834
"3","Jason Kos","13","13","2:20.080",140080,"32:44.300",1964300,"14:27:25.838","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","49.878",49878,"52.404",52404,"37.798",37798,"00:27.815",27815,"00:22.063",22063,"00:21.026",21026,"00:31.378",31378,"00:15.142",15142,"00:22.656",22656
"3","Jason Kos","14","14","2:21.286",141286,"35:05.586",2105586,"14:29:47.124","Am","Yellow Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","49.685",49685,"52.840",52840,"38.761",38761,"00:27.664",27664,"00:22.021",22021,"00:21.147",21147,"00:31.693",31693,"00:15.448",15448,"00:23.313",23313
"3","Jason Kos","15","15","2:21.399",141399,"37:26.985",2246985,"14:32:08.523","Am","Yellow Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.234",50234,"53.013",53013,"38.152",38152,"00:28.031",28031,"00:22.203",22203,"00:21.561",21561,"00:31.452",31452,"00:15.281",15281,"00:22.871",22871
"3","Jason Kos","16","16","2:20.499",140499,"39:47.484",2387484,"14:34:29.022","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver2category"":"""",""driver1category"":"""",""driver1firstName"":""Jason"",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""transponderNumber"":""11191062"",""driver2firstName"":"""",""driver2lastName"":"""",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing GR"",""driver1licenseNationality"":""USA"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""series"":""GR Cup"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":""""},""updatedAt"":""2024-07-18T16:39:10.076Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","49.978",49978,"52.840",52840,"37.681",37681,"00:28.001",28001,"00:21.977",21977,"00:21.298",21298,"00:31.542",31542,"00:15.029",15029,"00:22.652",22652
