"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S3a","S3a (ms)","S3b","S3b (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)"
"3","Jason Kos","1","1","2:28.925",148925,"2:36.330",156330,"8:22:37.005","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","00:56.437",56437,"46.332",46332,"46.156",46156,"00:17.583",17583,"00:28.573",28573,,,,,,,,
"3","Jason Kos","2","2","1:59.882",119882,"4:36.212",276212,"8:24:36.887","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","40.461",40461,"40.076",40076,"39.345",39345,"00:14.913",14913,"00:24.432",24432,"00:17.238",17238,"00:23.223",23223,"00:16.707",16707,"00:23.369",23369
"3","Jason Kos","3","3","1:57.461",117461,"6:33.673",393673,"8:26:34.348","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.775",39775,"39.190",39190,"38.496",38496,"00:14.821",14821,"00:23.675",23675,"00:16.426",16426,"00:23.349",23349,"00:16.307",16307,"00:22.883",22883
"3","Jason Kos","4","4","1:56.336",116336,"8:30.009",510009,"8:28:30.684","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.360",39360,"38.716",38716,"38.260",38260,"00:14.537",14537,"00:23.723",23723,"00:16.291",16291,"00:23.069",23069,"00:16.051",16051,"00:22.665",22665
"3","Jason Kos","5","5","1:55.917",115917,"10:25.926",625926,"8:30:26.601","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.930",38930,"38.535",38535,"38.452",38452,"00:14.793",14793,"00:23.659",23659,"00:16.215",16215,"00:22.715",22715,"00:15.812",15812,"00:22.723",22723
"3","Jason Kos","6","6","1:56.085",116085,"12:22.011",742011,"8:32:22.686","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.744",38744,"39.294",39294,"38.047",38047,"00:14.525",14525,"00:23.522",23522,"00:16.211",16211,"00:22.533",22533,"00:16.058",16058,"00:23.236",23236
"3","Jason Kos","7","7","1:55.303",115303,"14:17.314",857314,"8:34:17.989","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.746",38746,"38.299",38299,"38.258",38258,"00:14.522",14522,"00:23.736",23736,"00:16.013",16013,"00:22.733",22733,"00:15.781",15781,"00:22.518",22518
"3","Jason Kos","8","8","1:55.147",115147,"16:12.461",972461,"8:36:13.136","Am","Finish Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.825",38825,"38.323",38323,"37.999",37999,"00:14.496",14496,"00:23.503",23503,"00:16.235",16235,"00:22.590",22590,"00:15.845",15845,"00:22.478",22478
"5","Gresham Wagner","1","1","1:52.154",112154,"4:11.109",251109,"8:24:11.784","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.053",38053,"36.813",36813,"37.288",37288,"00:14.036",14036,"00:23.252",23252,"00:15.854",15854,"00:22.199",22199,"00:15.402",15402,"00:21.411",21411
"5","Gresham Wagner","2","2","1:51.235",111235,"6:02.344",362344,"8:26:03.019","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.483",37483,"36.690",36690,"37.062",37062,"00:13.935",13935,"00:23.127",23127,"00:15.696",15696,"00:21.787",21787,"00:15.376",15376,"00:21.314",21314
"5","Gresham Wagner","3","3","1:54.781",114781,"7:57.125",477125,"8:27:57.800","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.297",37297,"36.779",36779,"40.705",40705,"00:16.629",16629,"00:24.076",24076,"00:15.462",15462,"00:21.835",21835,"00:15.309",15309,"00:21.470",21470
"5","Gresham Wagner","4","4","1:50.726",110726,"9:47.851",587851,"8:29:48.526","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.231",37231,"36.625",36625,"36.870",36870,"00:13.897",13897,"00:22.973",22973,"00:15.474",15474,"00:21.757",21757,"00:15.410",15410,"00:21.215",21215
"5","Gresham Wagner","5","5","1:53.789",113789,"11:41.640",701640,"8:31:42.315","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.219",37219,"36.641",36641,"39.929",39929,"00:14.654",14654,"00:25.275",25275,"00:15.395",15395,"00:21.824",21824,"00:15.279",15279,"00:21.362",21362
"5","Gresham Wagner","6","6","1:50.566",110566,"13:32.206",812206,"8:33:32.881","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.176",37176,"36.603",36603,"36.787",36787,"00:13.769",13769,"00:23.018",23018,"00:15.438",15438,"00:21.738",21738,"00:15.344",15344,"00:21.259",21259
"5","Gresham Wagner","7","7","1:50.692",110692,"15:22.898",922898,"8:35:23.573","Am","Finish Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","37.329",37329,"36.555",36555,"36.808",36808,"00:13.792",13792,"00:23.016",23016,"00:15.467",15467,"00:21.862",21862,"00:15.328",15328,"00:21.227",21227
"7","Spencer Bucknum","1","1","2:19.351",139351,"3:26.527",206527,"8:23:27.202","Am","Green Flag","Spencer","Bucknam","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn","entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn","13334705","","{""fields"":{""driver2tla"":""BUC"",""driver1firstName"":""Spencer"",""transponderNumber"":""13334705"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""7"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":"""",""driver2licenseNationality"":"""",""driver1tla"":""BUC"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""218631"",""team"":""Precision Racing LA"",""driver1lastName"":""Bucknum"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T22:14:15.033Z"",""id"":""entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn"",""createdAt"":""2024-03-29T16:43:18.599Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Spencer"",""driverLastName"":""Bucknum"",""driverName"":""Spencer Bucknum"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","00:55.200",55200,"40.717",40717,"43.434",43434,"00:17.208",17208,"00:26.226",26226,,,,,,,,
