"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","1:46.604",106604,"1:48.720",108720,"12:05:50.814","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","49.298",49298,"25.782",25782,"31.524",31524,"00:19.263",19263,"00:30.035",30035,"00:12.640",12640,"00:13.142",13142,"00:13.208",13208,"00:18.316",18316
"3","Jason Kos","2","2","1:40.275",100275,"3:28.995",208995,"12:07:31.089","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.030",46030,"24.477",24477,"29.768",29768,"00:17.155",17155,"00:28.875",28875,"00:11.648",11648,"00:12.829",12829,"00:11.741",11741,"00:18.027",18027
"3","Jason Kos","3","3","1:40.363",100363,"5:09.358",309358,"12:09:11.452","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.060",46060,"24.578",24578,"29.725",29725,"00:17.201",17201,"00:28.859",28859,"00:11.682",11682,"00:12.896",12896,"00:11.341",11341,"00:18.384",18384
"3","Jason Kos","4","4","1:40.058",100058,"6:49.416",409416,"12:10:51.510","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.337",46337,"24.518",24518,"29.203",29203,"00:17.283",17283,"00:29.054",29054,"00:11.663",11663,"00:12.855",12855,"00:11.238",11238,"00:17.965",17965
"3","Jason Kos","5","5","1:40.209",100209,"8:29.625",509625,"12:12:31.719","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.100",46100,"24.391",24391,"29.718",29718,"00:17.311",17311,"00:28.789",28789,"00:11.576",11576,"00:12.815",12815,"00:11.339",11339,"00:18.379",18379
"3","Jason Kos","6","6","1:40.476",100476,"10:10.101",610101,"12:14:12.195","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.375",46375,"24.590",24590,"29.511",29511,"00:17.390",17390,"00:28.985",28985,"00:11.686",11686,"00:12.904",12904,"00:11.471",11471,"00:18.040",18040
"3","Jason Kos","7","7","1:40.808",100808,"11:50.909",710909,"12:15:53.003","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.154",46154,"24.669",24669,"29.985",29985,"00:17.288",17288,"00:28.866",28866,"00:11.762",11762,"00:12.907",12907,"00:11.837",11837,"00:18.148",18148
"3","Jason Kos","8","8","1:41.247",101247,"13:32.156",812156,"12:17:34.250","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.172",46172,"24.672",24672,"30.403",30403,"00:17.403",17403,"00:28.769",28769,"00:11.740",11740,"00:12.932",12932,"00:11.551",11551,"00:18.852",18852
"3","Jason Kos","9","9","1:42.435",102435,"15:14.591",914591,"12:19:16.685","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.596",46596,"25.149",25149,"30.690",30690,"00:17.808",17808,"00:28.788",28788,"00:11.750",11750,"00:13.399",13399,"00:12.363",12363,"00:18.327",18327
"3","Jason Kos","10","10","1:40.858",100858,"16:55.449",1015449,"12:20:57.543","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.019",46019,"24.748",24748,"30.091",30091,"00:17.368",17368,"00:28.651",28651,"00:11.785",11785,"00:12.963",12963,"00:11.677",11677,"00:18.414",18414
"3","Jason Kos","11","11","1:40.872",100872,"18:36.321",1116321,"12:22:38.415","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.452",46452,"24.731",24731,"29.689",29689,"00:17.498",17498,"00:28.954",28954,"00:11.799",11799,"00:12.932",12932,"00:11.457",11457,"00:18.232",18232
"3","Jason Kos","12","12","1:40.408",100408,"20:16.729",1216729,"12:24:18.823","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.296",46296,"24.651",24651,"29.461",29461,"00:17.437",17437,"00:28.859",28859,"00:11.712",11712,"00:12.939",12939,"00:11.378",11378,"00:18.083",18083
"3","Jason Kos","13","13","1:41.262",101262,"21:57.991",1317991,"12:26:00.085","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.483",46483,"24.807",24807,"29.972",29972,"00:17.424",17424,"00:29.059",29059,"00:11.744",11744,"00:13.063",13063,"00:11.680",11680,"00:18.292",18292
"3","Jason Kos","14","14","1:41.099",101099,"23:39.090",1419090,"12:27:41.184","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.547",46547,"24.634",24634,"29.918",29918,"00:17.511",17511,"00:29.036",29036,"00:11.621",11621,"00:13.013",13013,"00:11.596",11596,"00:18.322",18322
"3","Jason Kos","15","15","1:42.838",102838,"25:21.928",1521928,"12:29:24.022","Am","Yellow Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","47.009",47009,"25.386",25386,"30.443",30443,"00:17.376",17376,"00:29.633",29633,"00:11.969",11969,"00:13.417",13417,"00:11.912",11912,"00:18.531",18531
"3","Jason Kos","16","16","1:58.298",118298,"27:20.226",1640226,"12:31:22.320","Am","Yellow Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO","11191062","","{""fields"":{""driver2tla"":"""",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-09-08T03:31:17.136Z"",""id"":""entries:events-2024-sro-barber:HkiMAze3-20E4bxKHHVRO"",""createdAt"":""2024-09-05T19:32:57.802Z"",""eventId"":""events:2024-sro-barber""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","47.176",47176,"30.586",30586,"40.536",40536,"00:17.729",17729,"00:29.447",29447,"00:12.228",12228,"00:18.358",18358,"00:16.836",16836,"00:23.700",23700
